Label,Characteristic,Year,fatal_injury_rate
Dem,Black or African-American (non-Hispanic),2006,3.9
Dem,Black or African-American (non-Hispanic),2007,4.2
Dem,Black or African-American (non-Hispanic),2008,3.7
Dem,Black or African-American (non-Hispanic),2009,3.1
Dem,Black or African-American (non-Hispanic),2010,3.0
Dem,Black or African-American (non-Hispanic),2011,3.3
Dem,Black or African-American (non-Hispanic),2012,3.5
Dem,Black or African-American (non-Hispanic),2013,3.1
Dem,Black or African-American (non-Hispanic),2014,3.2
Dem,Black or African-American (non-Hispanic),2015,3.2
Dem,Black or African-American (non-Hispanic),2016,3.6
Dem,Black or African-American (non-Hispanic),2017,3.2
Dem,Black or African-American (non-Hispanic),2018,3.6
Dem,Black or African-American (non-Hispanic),2019,3.6
Dem,Black or African-American (non-Hispanic),2020,3.5
