Label,Characteristic,Year,fatal_injury_rate
Dem,Hispanic or Latino,2006,5.3
Dem,Hispanic or Latino,2007,4.8
Dem,Hispanic or Latino,2008,4.2
Dem,Hispanic or Latino,2009,4.0
Dem,Hispanic or Latino,2010,3.9
Dem,Hispanic or Latino,2011,4.0
Dem,Hispanic or Latino,2012,3.7
Dem,Hispanic or Latino,2013,3.9
Dem,Hispanic or Latino,2014,3.7
Dem,Hispanic or Latino,2015,4.0
Dem,Hispanic or Latino,2016,3.7
Dem,Hispanic or Latino,2017,3.7
Dem,Hispanic or Latino,2018,3.7
Dem,Hispanic or Latino,2019,4.2
Dem,Hispanic or Latino,2020,4.5
