Label,Characteristic,Year,fatal_injury_rate
Dem,White (non-Hispanic),2006,4.1
Dem,White (non-Hispanic),2007,3.9
Dem,White (non-Hispanic),2008,3.8
Dem,White (non-Hispanic),2009,3.5
Dem,White (non-Hispanic),2010,3.7
Dem,White (non-Hispanic),2011,3.6
Dem,White (non-Hispanic),2012,3.5
Dem,White (non-Hispanic),2013,3.4
Dem,White (non-Hispanic),2014,3.6
Dem,White (non-Hispanic),2015,3.5
Dem,White (non-Hispanic),2016,3.7
Dem,White (non-Hispanic),2017,3.6
Dem,White (non-Hispanic),2018,3.6
Dem,White (non-Hispanic),2019,3.5
Dem,White (non-Hispanic),2020,3.3
