Label,Characteristic,Year,fatal_injury_rate
Dem,65 years and over,2006,14.9
Dem,65 years and over,2007,13.5
Dem,65 years and over,2008,12.7
Dem,65 years and over,2009,12.1
Dem,65 years and over,2010,11.9
Dem,65 years and over,2011,11.0
Dem,65 years and over,2012,10.3
Dem,65 years and over,2013,9.2
Dem,65 years and over,2014,10.7
Dem,65 years and over,2015,9.4
Dem,65 years and over,2016,9.6
Dem,65 years and over,2017,10.3
Dem,65 years and over,2018,9.6
Dem,65 years and over,2019,9.4
Dem,65 years and over,2020,8.6
