Label,Characteristic,Year,fatal_injury_rate
Ind,"Agriculture, forestry, fishing, and hunting",2006,29
Ind,"Agriculture, forestry, fishing, and hunting",2007,27
Ind,"Agriculture, forestry, fishing, and hunting",2008,30.4
Ind,"Agriculture, forestry, fishing, and hunting",2009,27.2
Ind,"Agriculture, forestry, fishing, and hunting",2010,27.9
Ind,"Agriculture, forestry, fishing, and hunting",2011,24.9
Ind,"Agriculture, forestry, fishing, and hunting",2012,22.8
Ind,"Agriculture, forestry, fishing, and hunting",2013,23.2
Ind,"Agriculture, forestry, fishing, and hunting",2014,25.6
Ind,"Agriculture, forestry, fishing, and hunting",2015,22.8
Ind,"Agriculture, forestry, fishing, and hunting",2016,23.2
Ind,"Agriculture, forestry, fishing, and hunting",2017,23
Ind,"Agriculture, forestry, fishing, and hunting",2018,23.4
Ind,"Agriculture, forestry, fishing, and hunting",2019,23.1
Ind,"Agriculture, forestry, fishing, and hunting",2020,21.5
