Label,Characteristic,Year,fatal_injury_rate
Ind,"Agriculture, Forestry, Fishing, and Hunting",2006,29
Ind,"Agriculture, forestry, fishing, and hunting",2007,27
Ind,"Agriculture, Forestry, Fishing, and Hunting",2008,30.4
Ind,"Agriculture, forestry, fishing, and hunting",2009,27.2
Ind,"Agriculture, forestry, fishing and hunting",2010,27.9
Ind,"Agriculture, forestry, fishing and hunting",2011,24.9
Ind,"Agriculture, forestry, fishing and hunting",2012,22.8
Ind,"Agriculture, forestry, fishing and hunting",2013,23.2
Ind,"Agriculture, forestry, fishing and hunting",2014,25.6
Ind,"Agriculture, forestry, fishing and hunting",2015,22.8
Ind,"Agriculture, forestry, fishing and hunting",2016,23.2
Ind,"Agriculture, forestry, fishing and hunting",2017,23
Ind,"Agriculture, forestry, fishing and hunting",2018,23.4
Ind,"Agriculture, forestry, fishing and hunting",2019,23.1
Ind,"Agriculture, forestry, fishing and hunting",2020,21.5
Ind,Construction,2006,11.2
Ind,Construction,2007,10.8
Ind,Construction,2008,9.7
Ind,Construction,2009,9.9
Ind,Construction,2010,9.8
Ind,Construction,2011,9.1
Ind,Construction,2012,9.9
Ind,Construction,2013,9.7
Ind,Construction,2014,9.8
Ind,Construction,2015,10.1
Ind,Construction,2016,10.1
Ind,Construction,2017,9.5
Ind,Construction,2018,9.5
Ind,Construction,2019,9.7
Ind,Construction,2020,10.2
Ind,Educational and health services,2006,1
Ind,Educational and health services,2007,0.8
Ind,Educational and Health Services,2008,0.7
Ind,Educational and health services,2009,0.8
Ind,Educational and health services,2010,0.9
Ind,Educational and health services,2011,0.8
Ind,Educational and health services,2012,0.7
Ind,Educational and health services,2013,0.7
Ind,Educational and health services,2014,0.7
Ind,Educational and health services,2015,0.7
Ind,Educational and health services,2016,0.7
Ind,Educational and health services,2017,0.8
Ind,Educational and health services,2018,0.7
Ind,Educational and health services,2019,0.8
Ind,Educational and health services,2020,0.7
Ind,Financial activities,2006,1.3
Ind,Financial activities,2007,1.2
Ind,Financial activities,2008,1.1
Ind,Financial activities,2009,1.2
Ind,Financial activities,2010,1.3
Ind,Financial activities,2011,1.1
Ind,Financial activities,2012,0.9
Ind,Financial activities,2013,0.9
Ind,Financial activities,2014,1.2
Ind,Financial activities,2015,0.9
Ind,Financial activities,2016,1.2
Ind,Financial activities,2017,1
Ind,Financial activities,2018,1.1
Ind,Financial activities,2019,1
Ind,Financial activities,2020,0.9
Ind,Government,2006,2.4
Ind,Government,2007,2.3
Ind,Government,2008,2.4
Ind,Government,2009,1.9
Ind,Government,2010,2.2
