Label,Characteristic,Year,fatal_injury_rate
Ind,Educational and health services,2006,1
Ind,Educational and health services,2007,0.8
Ind,Educational and health services,2008,0.7
Ind,Educational and health services,2009,0.8
Ind,Educational and health services,2010,0.9
Ind,Educational and health services,2011,0.8
Ind,Educational and health services,2012,0.7
Ind,Educational and health services,2013,0.7
Ind,Educational and health services,2014,0.7
Ind,Educational and health services,2015,0.7
Ind,Educational and health services,2016,0.7
Ind,Educational and health services,2017,0.8
Ind,Educational and health services,2018,0.7
Ind,Educational and health services,2019,0.8
Ind,Educational and health services,2020,0.7
