Label,Characteristic,Year,fatal_injury_rate
Ind,Financial activities,2006,1.3
Ind,Financial activities,2007,1.2
Ind,Financial activities,2008,1.1
Ind,Financial activities,2009,1.2
Ind,Financial activities,2010,1.3
Ind,Financial activities,2011,1.1
Ind,Financial activities,2012,0.9
Ind,Financial activities,2013,0.9
Ind,Financial activities,2014,1.2
Ind,Financial activities,2015,0.9
Ind,Financial activities,2016,1.2
Ind,Financial activities,2017,1.0
Ind,Financial activities,2018,1.1
Ind,Financial activities,2019,1.0
Ind,Financial activities,2020,0.9
