Label,Characteristic,Year,fatal_injury_rate
Ind,Leisure and hospitality,2006,2.6
Ind,Leisure and hospitality,2007,2.5
Ind,Leisure and hospitality,2008,2.2
Ind,Leisure and hospitality,2009,2.2
Ind,Leisure and hospitality,2010,2.3
Ind,Leisure and hospitality,2011,2.2
Ind,Leisure and hospitality,2012,2.2
Ind,Leisure and hospitality,2013,1.9
Ind,Leisure and hospitality,2014,2.0
Ind,Leisure and hospitality,2015,2.0
Ind,Leisure and hospitality,2016,2.6
Ind,Leisure and hospitality,2017,2.2
Ind,Leisure and hospitality,2018,2.2
Ind,Leisure and hospitality,2019,2.2
Ind,Leisure and hospitality,2020,2.5
