Label,Characteristic,Year,fatal_injury_rate
Ind,"Management, professional, and related occupations",2006,1.7
Ind,"Management, professional, and related occupations",2007,1.6
Ind,"Management, professional, and related occupations",2008,1.6
Ind,"Management, professional, and related occupations",2009,1.6
Ind,"Management, professional, and related occupations",2010,1.7
Ind,"Management, professional, and related occupations",2011,1.4
Ind,"Management, professional, and related occupations",2012,1.3
Ind,"Management, professional, and related occupations",2013,1.2
Ind,"Management, professional, and related occupations",2014,1.3
Ind,"Management, professional, and related occupations",2015,1.2
Ind,"Management, professional, and related occupations",2016,1.2
Ind,"Management, professional, and related occupations",2017,1.1
Ind,"Management, professional, and related occupations",2018,1.1
Ind,"Management, professional, and related occupations",2019,1.0
Ind,"Management, professional, and related occupations",2020,0.9
