Label,Characteristic,Year,fatal_injury_rate
Ind,"Mining, quarrying, and oil and gas extraction",2006,23.5
Ind,"Mining, quarrying, and oil and gas extraction",2007,21.4
Ind,"Mining, quarrying, and oil and gas extraction",2008,18.1
Ind,"Mining, quarrying, and oil and gas extraction",2009,12.4
Ind,"Mining, quarrying, and oil and gas extraction",2010,19.8
Ind,"Mining, quarrying, and oil and gas extraction",2011,15.9
Ind,"Mining, quarrying, and oil and gas extraction",2012,15.9
Ind,"Mining, quarrying, and oil and gas extraction",2013,12.4
Ind,"Mining, quarrying, and oil and gas extraction",2014,14.2
Ind,"Mining, quarrying, and oil and gas extraction",2015,11.4
Ind,"Mining, quarrying, and oil and gas extraction",2016,10.1
Ind,"Mining, quarrying, and oil and gas extraction",2017,12.9
Ind,"Mining, quarrying, and oil and gas extraction",2018,14.1
Ind,"Mining, quarrying, and oil and gas extraction",2019,14.6
Ind,"Mining, quarrying, and oil and gas extraction",2020,10.5
