Label,Characteristic,Year,fatal_injury_rate
Ind,Sales and office occupations,2006,1.2
Ind,Sales and office occupations,2007,1.4
Ind,Sales and office occupations,2008,1.1
Ind,Sales and office occupations,2009,1.3
Ind,Sales and office occupations,2010,1.2
Ind,Sales and office occupations,2011,1.1
Ind,Sales and office occupations,2012,1.0
Ind,Sales and office occupations,2013,1.0
Ind,Sales and office occupations,2014,1.1
Ind,Sales and office occupations,2015,1.0
Ind,Sales and office occupations,2016,1.1
Ind,Sales and office occupations,2017,1.1
Ind,Sales and office occupations,2018,1.0
Ind,Sales and office occupations,2019,1.1
Ind,Sales and office occupations,2020,1.0
