Label,Characteristic,Year,fatal_injury_rate
Ind,Transportation and warehousing,2006,16.3
Ind,Transportation and warehousing,2007,16.5
Ind,Transportation and warehousing,2008,14.9
Ind,Transportation and warehousing,2009,13.3
Ind,Transportation and warehousing,2010,13.7
Ind,Transportation and warehousing,2011,15.3
Ind,Transportation and warehousing,2012,14.6
Ind,Transportation and warehousing,2013,14
Ind,Transportation and warehousing,2014,14.1
Ind,Transportation and warehousing,2015,13.8
Ind,Transportation and warehousing,2016,14.3
Ind,Transportation and warehousing,2017,15.1
Ind,Transportation and warehousing,2018,14
Ind,Transportation and warehousing,2019,13.9
Ind,Transportation and warehousing,2020,13.4
