Label,Characteristic,Year,fatal_injury_rate
Occ,Air transportation,2006,10.5
Occ,Air transportation,2007,8.4
Occ,Air transportation,2008,7.6
Occ,Air transportation,2009,6.0
Occ,Air transportation,2010,6.5
Occ,Air transportation,2011,5.8
Occ,Air transportation,2012,6.2
Occ,Air transportation,2013,4.7
Occ,Air transportation,2014,7.4
Occ,Air transportation,2015,4.4
Occ,Air transportation,2016,4.3
Occ,Air transportation,2017,3.8
Occ,Air transportation,2018,3.9
Occ,Air transportation,2019,5.4
Occ,Air transportation,2020,4.3
