Label,Characteristic,Year,fatal_injury_rate
Occ,Air transportation,2006,10.5
Occ,Air transportation,2007,8.4
Occ,Air transportation,2008,7.6
Occ,Air transportation,2009,6
Occ,Air transportation,2010,6.5
Occ,Air transportation,2011,5.8
Occ,Air transportation,2012,6.2
Occ,Air transportation,2013,4.7
Occ,Air transportation,2014,7.4
Occ,Air transportation,2015,4.4
Occ,Air transportation,2016,4.3
Occ,Air transportation,2017,3.8
Occ,Air transportation,2018,3.9
Occ,Air transportation,2019,5.4
Occ,Air transportation,2020,4.3
Occ,Animal production,2006,14.8
Occ,Animal production,2007,16.9
Occ,Animal production,2008,16.8
Occ,Animal production,2009,15.1
Occ,Animal production,2010,16.9
Occ,Animal production,2011,14.8
Occ,Animal production,2012,14.8
Occ,Animal production,2013,15.6
Occ,Animal production and aquaculture,2014,19.3
Occ,Animal production and aquaculture,2015,17.8
Occ,Animal production and aquaculture,2016,15.4
Occ,Animal production and aquaculture,2017,16.4
Occ,Animal production and aquaculture,2018,18.6
Occ,Animal production and aquaculture,2019,22.2
Occ,Animal production and aquaculture,2020,12.8
Occ,"Athletes, coaches, umpires, and related workers",2009,9.2
Occ,"Athletes, coaches, umpires, and related workers",2010,11.3
Occ,"Athletes, coaches, umpires, and related workers",2011,10.3
Occ,"Athletes, coaches, umpires, and related workers",2012,13
Occ,"Athletes, coaches, umpires, and related workers",2013,8.9
Occ,"Athletes, coaches, umpires, and related workers",2014,7.5
Occ,"Athletes, coaches, umpires, and related workers",2015,10.2
Occ,"Athletes, coaches, umpires, and related workers",2016,11.7
Occ,"Athletes, coaches, umpires, and related workers",2017,8.7
Occ,"Athletes, coaches, umpires, and related workers",2018,7.6
Occ,"Athletes, coaches, umpires, and related workers",2019,6.5
Occ,"Athletes, coaches, umpires, and related workers",2020,6.2
Occ,Automotive repair and maintenance (except car washes),2006,5.7
Occ,Automotive repair and maintenance (except car washes),2007,4.3
Occ,Automotive repair and maintenance,2008,5.7
Occ,Automotive repair and maintenance (except car washes),2009,6.4
Occ,Automotive repair and maintenance (except car washes),2010,6
Occ,Automotive repair and maintenance (except car washes),2011,5.4
Occ,Automotive repair and maintenance (except car washes),2012,5.3
Occ,Automotive repair and maintenance (except car washes),2013,4.9
Occ,Automotive repair and maintenance (except car washes),2014,5.6
Occ,Automotive repair and maintenance (except car washes),2015,5.9
Occ,Automotive repair and maintenance (except car washes),2016,7.9
Occ,Automotive repair and maintenance (except car washes),2017,6.9
Occ,Automotive repair and maintenance (except car washes),2018,6.5
Occ,Automotive repair and maintenance (except car washes),2019,7.5
Occ,Automotive repair and maintenance (except car washes),2020,7.2
Occ,Drinking places (alcoholic beverages),2006,13.8
Occ,Drinking places (alcoholic beverages),2007,11.8
Occ,Drinking places (alcoholic beverages),2008,17
Occ,Drinking places (alcoholic beverages),2009,15.5
Occ,Drinking places (alcoholic beverages),2010,13.8
Occ,Drinking places (alcoholic beverages),2011,18
Occ,Drinking places (alcoholic beverages),2012,13
Occ,Drinking places (alcoholic beverages),2013,16.4
Occ,Drinking places (alcoholic beverages),2014,9.8
Occ,Drinking places (alcoholic beverages),2015,9.4
Occ,Drinking places (alcoholic beverages),2016,12
Occ,Drinking places (alcoholic beverages),2017,12
Occ,Drinking places (alcoholic beverages),2018,15.4
