Label,Characteristic,Year,fatal_injury_rate
Occ,"Athletes, coaches, umpires, and related workers",2009,9.2
Occ,"Athletes, coaches, umpires, and related workers",2010,11.3
Occ,"Athletes, coaches, umpires, and related workers",2011,10.3
Occ,"Athletes, coaches, umpires, and related workers",2012,13.0
Occ,"Athletes, coaches, umpires, and related workers",2013,8.9
Occ,"Athletes, coaches, umpires, and related workers",2014,7.5
Occ,"Athletes, coaches, umpires, and related workers",2015,10.2
Occ,"Athletes, coaches, umpires, and related workers",2016,11.7
Occ,"Athletes, coaches, umpires, and related workers",2017,8.7
Occ,"Athletes, coaches, umpires, and related workers",2018,7.6
Occ,"Athletes, coaches, umpires, and related workers",2019,6.5
Occ,"Athletes, coaches, umpires, and related workers",2020,6.2
