Label,Characteristic,Year,fatal_injury_rate
Occ,Automotive repair and maintenance (except car washes),2006,5.7
Occ,Automotive repair and maintenance (except car washes),2007,4.3
Occ,Automotive repair and maintenance (except car washes),2008,5.7
Occ,Automotive repair and maintenance (except car washes),2009,6.4
Occ,Automotive repair and maintenance (except car washes),2010,6
Occ,Automotive repair and maintenance (except car washes),2011,5.4
Occ,Automotive repair and maintenance (except car washes),2012,5.3
Occ,Automotive repair and maintenance (except car washes),2013,4.9
Occ,Automotive repair and maintenance (except car washes),2014,5.6
Occ,Automotive repair and maintenance (except car washes),2015,5.9
Occ,Automotive repair and maintenance (except car washes),2016,7.9
Occ,Automotive repair and maintenance (except car washes),2017,6.9
Occ,Automotive repair and maintenance (except car washes),2018,6.5
Occ,Automotive repair and maintenance (except car washes),2019,7.5
Occ,Automotive repair and maintenance (except car washes),2020,7.2
