Label,Characteristic,Year,fatal_injury_rate
Occ,Drinking places (alcoholic beverages),2006,13.8
Occ,Drinking places (alcoholic beverages),2007,11.8
Occ,Drinking places (alcoholic beverages),2008,17.0
Occ,Drinking places (alcoholic beverages),2009,15.5
Occ,Drinking places (alcoholic beverages),2010,13.8
Occ,Drinking places (alcoholic beverages),2011,18.0
Occ,Drinking places (alcoholic beverages),2012,13.0
Occ,Drinking places (alcoholic beverages),2013,16.4
Occ,Drinking places (alcoholic beverages),2014,9.8
Occ,Drinking places (alcoholic beverages),2015,9.4
Occ,Drinking places (alcoholic beverages),2016,12.0
Occ,Drinking places (alcoholic beverages),2017,12.0
Occ,Drinking places (alcoholic beverages),2018,15.4
Occ,Drinking places (alcoholic beverages),2019,8.5
Occ,Drinking places (alcoholic beverages),2020,15.2
