Label,Characteristic,Year,fatal_injury_rate
Occ,Business and financial operations occupations,2006,0.7
Occ,Business and financial operations occupations,2007,0.5
Occ,Business and financial operations occupations,2008,0.4
Occ,Business and financial operations occupations,2009,0.4
Occ,Business and financial operations occupations,2010,0.4
Occ,Business and financial operations occupations,2011,0.5
Occ,Business and financial operations occupations,2012,0.3
Occ,Business and financial operations occupations,2013,0.3
Occ,Business and financial operations occupations,2014,0.4
Occ,Business and financial operations occupations,2015,0.4
Occ,Business and financial operations occupations,2016,0.4
Occ,Business and financial operations occupations,2017,0.4
Occ,Business and financial operations occupations,2018,0.5
Occ,Business and financial operations occupations,2019,0.4
Occ,Business and financial operations occupations,2020,0.3
