Label,Characteristic,Year,fatal_injury_rate
Occ,Automobile dealers,2006,2.8
Occ,Automobile dealers,2007,1.9
Occ,Automobile dealers,2008,2.2
Occ,Automobile dealers,2009,2.5
Occ,Automobile dealers,2010,2.3
Occ,Automobile dealers,2011,1.6
Occ,Automobile dealers,2012,1.5
Occ,Automobile dealers,2013,1.9
Occ,Automobile dealers,2014,1.7
Occ,Automobile dealers,2015,2.2
Occ,Automobile dealers,2016,1.4
Occ,Automobile dealers,2017,1.9
Occ,Automobile dealers,2018,1.8
Occ,Automobile dealers,2019,1.8
Occ,Automobile dealers,2020,2.2
