Label,Characteristic,Year,fatal_injury_rate
Occ,"Cement, concrete, lime, and gypsum product manufacturing",2006,17.9
Occ,"Cement, concrete, lime, and gypsum product manufacturing",2007,12.8
Occ,"Cement, concrete, lime, and gypsum product manufacturing",2008,13.7
Occ,"Cement, concrete, lime, and gypsum product manufacturing",2009,8.2
Occ,"Cement, concrete, lime, and gypsum product manufacturing",2011,17.5
Occ,"Cement, concrete, lime, and gypsum product manufacturing",2012,16.1
Occ,"Cement, concrete, lime, and gypsum product manufacturing",2013,17.0
Occ,"Cement, concrete, lime, and gypsum product manufacturing",2014,19.2
Occ,"Cement, concrete, lime, and gypsum product manufacturing",2015,13.5
Occ,"Cement, concrete, lime, and gypsum product manufacturing",2016,15.1
Occ,"Cement, concrete, lime, and gypsum product manufacturing",2017,12.5
Occ,"Cement, concrete, lime, and gypsum product manufacturing",2018,10.0
Occ,"Cement, concrete, lime, and gypsum product manufacturing",2020,18.7
