Label,Characteristic,Year,fatal_injury_rate
Occ,Construction laborers,2006,22.9
Occ,Construction laborers,2007,20.8
Occ,Construction laborers,2008,16.2
Occ,Construction laborers,2009,18.8
Occ,Construction laborers,2010,18.2
Occ,Construction laborers,2011,17.3
Occ,Construction laborers,2012,17.3
Occ,Construction laborers,2013,15.8
Occ,Construction laborers,2014,13.3
Occ,Construction laborers,2015,15.6
Occ,Construction laborers,2016,15.1
Occ,Construction laborers,2017,14.2
Occ,Construction laborers,2018,13.0
Occ,Construction laborers,2019,15.0
Occ,Construction laborers,2020,18.1
