Label,Characteristic,Year,fatal_injury_rate
Occ,Employment services,2006,3.3
Occ,Employment services,2007,6.1
Occ,Employment services,2008,4.3
Occ,Employment services,2009,3.7
Occ,Employment services,2010,2.3
Occ,Employment services,2011,4.4
Occ,Employment services,2012,3.9
Occ,Employment services,2013,4.9
Occ,Employment services,2014,4.6
Occ,Employment services,2015,4.6
Occ,Employment services,2016,5.6
Occ,Employment services,2017,4.4
Occ,Employment services,2018,6.5
Occ,Employment services,2019,8.1
Occ,Employment services,2020,4.2
