Label,Characteristic,Year,fatal_injury_rate
Occ,"Architectural, engineering, and related services",2009,2.1
Occ,"Architectural, engineering, and related services",2010,2.1
Occ,"Architectural, engineering, and related services",2011,1.6
Occ,"Architectural, engineering, and related services",2012,1.5
Occ,"Architectural, engineering, and related services",2013,2.3
Occ,"Architectural, engineering, and related services",2014,2.2
Occ,"Architectural, engineering, and related services",2015,1.7
Occ,"Architectural, engineering, and related services",2016,2.7
Occ,"Architectural, engineering, and related services",2017,1.1
Occ,"Architectural, engineering, and related services",2018,1.6
Occ,"Architectural, engineering, and related services",2019,1.9
Occ,"Architectural, engineering, and related services",2020,1.5
