Label,Characteristic,Year,fatal_injury_rate
Occ,"Farmers, ranchers, and other agricultural managers",2006,35.5
Occ,"Farmers, ranchers, and other agricultural managers",2007,36
Occ,"Farmers, ranchers, and other agricultural managers",2008,40.3
Occ,"Farmers, ranchers, and other agricultural managers",2009,39.7
Occ,"Farmers, ranchers, and other agricultural managers",2010,42.5
Occ,"Farmers, ranchers, and other agricultural managers",2011,26.1
Occ,"Farmers, ranchers, and other agricultural managers",2012,22.8
Occ,"Farmers, ranchers, and other agricultural managers",2013,22.9
Occ,"Farmers, ranchers, and other agricultural managers",2014,26.7
Occ,"Farmers, ranchers, and other agricultural managers",2015,22
Occ,"Farmers, ranchers, and other agricultural managers",2016,23.1
Occ,"Farmers, ranchers, and other agricultural managers",2017,24
Occ,"Farmers, ranchers, and other agricultural managers",2018,24.7
Occ,"Farmers, ranchers, and other agricultural managers",2019,23.2
Occ,"Farmers, ranchers, and other agricultural managers",2020,20.9
