Label,Characteristic,Year,fatal_injury_rate
Occ,Federal government,2006,2.1
Occ,Federal government,2007,1.4
Occ,Federal government,2008,1.5
Occ,Federal government,2009,1.4
Occ,Federal government,2010,1.6
Occ,Federal government,2011,1.2
Occ,Federal government,2012,1.5
Occ,Federal government,2013,1.7
Occ,Federal government,2014,1.1
Occ,Federal government,2015,1.3
Occ,Federal government,2016,1.2
Occ,Federal government,2017,1.3
Occ,Federal government,2018,1.2
Occ,Federal government,2019,1.2
Occ,Federal government,2020,0.9
