Label,Characteristic,Year,fatal_injury_rate
Occ,"Fishing, hunting, and trapping",2006,98.5
Occ,"Fishing, hunting, and trapping",2007,82.2
Occ,"Fishing, hunting, and trapping",2008,92.9
Occ,"Fishing, hunting, and trapping",2009,142.2
Occ,"Fishing, hunting, and trapping",2010,97.4
Occ,"Fishing, hunting, and trapping",2011,101.2
Occ,"Fishing, hunting, and trapping",2012,106.1
Occ,"Fishing, hunting, and trapping",2013,63.4
Occ,"Fishing, hunting, and trapping",2014,68.6
Occ,"Fishing, hunting, and trapping",2015,42.6
Occ,"Fishing, hunting, and trapping",2016,69.1
Occ,"Fishing, hunting, and trapping",2017,78.1
Occ,"Fishing, hunting, and trapping",2018,67.5
Occ,"Fishing, hunting, and trapping",2019,145.0
Occ,"Fishing, hunting, and trapping",2019,83.7
Occ,"Fishing, hunting, and trapping",2020,132.1
Occ,"Fishing, hunting, and trapping",2019,83.7
Occ,"Fishing, hunting, and trapping",2020,121.1
