Label,Characteristic,Year,fatal_injury_rate
Occ,Food service managers,2006,2.7
Occ,Food service managers,2007,1.6
Occ,Food service managers,2008,2.4
Occ,Food service managers,2009,2.2
Occ,Food service managers,2010,2.4
Occ,Food service managers,2011,2.4
Occ,Food service managers,2012,2.3
Occ,Food service managers,2013,3.0
Occ,Food service managers,2014,1.8
Occ,Food service managers,2015,1.7
Occ,Food service managers,2016,1.8
Occ,Food service managers,2017,1.5
Occ,Food service managers,2018,1.2
Occ,Food service managers,2019,1.8
Occ,Food service managers,2020,1.1
