Label,Characteristic,Year,fatal_injury_rate
Occ,Gasoline stations,2006,10.4
Occ,Gasoline stations,2007,9.2
Occ,Gasoline stations,2008,7.7
Occ,Gasoline stations,2009,8.3
Occ,Gasoline stations,2010,12.9
Occ,Gasoline stations,2011,5.1
Occ,Gasoline stations,2012,6.8
Occ,Gasoline stations,2013,7.4
Occ,Gasoline stations,2014,6.2
Occ,Gasoline stations,2015,8.1
Occ,Gasoline stations,2016,9.4
Occ,Gasoline stations,2017,8.3
Occ,Gasoline stations,2018,10.5
Occ,Gasoline stations,2019,10.5
Occ,Gasoline stations,2020,9.2
