Label,Characteristic,Year,fatal_injury_rate
Occ,"Heating, air conditioning, and refrigeration mechanics and installers",2006,6.8
Occ,"Heating, air conditioning, and refrigeration mechanics and installers",2007,8.1
Occ,"Heating, air conditioning, and refrigeration mechanics and installers",2008,4.8
Occ,"Heating, air conditioning, and refrigeration mechanics and installers",2009,5.5
Occ,"Heating, air conditioning, and refrigeration mechanics and installers",2010,6.5
Occ,"Heating, air conditioning, and refrigeration mechanics and installers",2011,5.5
Occ,"Heating, air conditioning, and refrigeration mechanics and installers",2012,6.1
Occ,"Heating, air conditioning, and refrigeration mechanics and installers",2013,7.6
Occ,"Heating, air conditioning, and refrigeration mechanics and installers",2014,7.3
Occ,"Heating, air conditioning, and refrigeration mechanics and installers",2015,7.1
Occ,"Heating, air conditioning, and refrigeration mechanics and installers",2016,8.4
Occ,"Heating, air conditioning, and refrigeration mechanics and installers",2017,5.4
Occ,"Heating, air conditioning, and refrigeration mechanics and installers",2018,8.5
Occ,"Heating, air conditioning, and refrigeration mechanics and installers",2019,6.8
Occ,"Heating, air conditioning, and refrigeration mechanics and installers",2020,5.1
