Label,Characteristic,Year,fatal_injury_rate
Occ,Janitors and building cleaners,2006,3.4
Occ,Janitors and building cleaners,2007,2.5
Occ,Janitors and building cleaners,2008,3.1
Occ,Janitors and building cleaners,2009,2.2
Occ,Janitors and building cleaners,2010,2
Occ,Janitors and building cleaners,2011,2.3
Occ,Janitors and building cleaners,2012,1.8
Occ,Janitors and building cleaners,2013,2.2
Occ,Janitors and building cleaners,2014,2.4
Occ,Janitors and building cleaners,2015,2.1
Occ,Janitors and building cleaners,2016,2.6
Occ,Janitors and building cleaners,2017,2.8
Occ,Janitors and building cleaners,2018,2.5
Occ,Janitors and building cleaners,2019,2.4
Occ,Janitors and building cleaners,2020,2.7
