Label,Characteristic,Year,fatal_injury_rate
Occ,Landscaping services,2006,15.6
Occ,Landscaping services,2007,13.4
Occ,Landscaping services,2008,11.4
Occ,Landscaping services,2009,16.6
Occ,Landscaping services,2010,13.1
Occ,Landscaping services,2011,15.6
Occ,Landscaping services,2012,15.0
Occ,Landscaping services,2013,13.2
Occ,Landscaping services,2014,13.2
Occ,Landscaping services,2015,15.6
Occ,Landscaping services,2016,16.5
Occ,Landscaping services,2017,16.9
Occ,Landscaping services,2018,18.8
Occ,Landscaping services,2020,17.9
