Label,Characteristic,Year,fatal_injury_rate
Occ,Primary metal manufacturing,2006,6.6
Occ,Primary metal manufacturing,2007,3.6
Occ,Primary metal manufacturing,2008,7.3
Occ,Primary metal manufacturing,2009,3.5
Occ,Primary metal manufacturing,2010,3.6
Occ,Primary metal manufacturing,2011,4.5
Occ,Primary metal manufacturing,2012,4.5
Occ,Primary metal manufacturing,2013,3.2
Occ,Primary metal manufacturing,2014,5.1
Occ,Primary metal manufacturing,2015,3.1
Occ,Primary metal manufacturing,2016,5.2
Occ,Primary metal manufacturing,2017,1.7
Occ,Primary metal manufacturing,2018,3.7
Occ,Primary metal manufacturing,2020,3.5
