Label,Characteristic,Year,fatal_injury_rate
Occ,Nursing and residential care facilities,2006,1.0
Occ,Nursing and residential care facilities,2007,0.9
Occ,Nursing and residential care facilities,2008,0.8
Occ,Nursing and residential care facilities,2009,1.1
Occ,Nursing and residential care facilities,2010,1.0
Occ,Nursing and residential care facilities,2011,0.9
Occ,Nursing and residential care facilities,2012,1.1
Occ,Nursing and residential care facilities,2015,1.1
Occ,Nursing and residential care facilities,2016,1.3
Occ,Nursing and residential care facilities,2017,1.4
Occ,Nursing and residential care facilities,2018,1.4
Occ,Nursing and residential care facilities,2019,1.3
Occ,Nursing and residential care facilities,2020,1.2
