Label,Characteristic,Year,fatal_injury_rate
Occ,"Painters, construction and maintenance",2006,8.2
Occ,"Painters, construction and maintenance",2007,6.6
Occ,"Painters, construction and maintenance",2008,8.6
Occ,"Painters, construction and maintenance",2009,6.1
Occ,"Painters, construction and maintenance",2010,7.1
Occ,"Painters, construction and maintenance",2011,7.7
Occ,"Painters, construction and maintenance",2012,8.2
Occ,"Painters, construction and maintenance",2013,8.7
Occ,"Painters, construction and maintenance",2014,9.2
Occ,"Painters, construction and maintenance",2015,7.6
Occ,"Painters, construction and maintenance",2016,8.6
Occ,"Painters, construction and maintenance",2017,8.9
Occ,"Painters, construction and maintenance",2018,5.3
Occ,"Painters, construction and maintenance",2019,7.5
Occ,"Painters, construction and maintenance",2020,11.6
