Label,Characteristic,Year,fatal_injury_rate
Occ,"Performing arts, spectator sports, and related industries",2009,6.5
Occ,"Performing arts, spectator sports, and related industries",2010,6.5
Occ,"Performing arts, spectator sports, and related industries",2011,6.5
Occ,"Performing arts, spectator sports, and related industries",2012,5.8
Occ,"Performing arts, spectator sports, and related industries",2013,4.9
Occ,"Performing arts, spectator sports, and related industries",2014,4.6
Occ,"Performing arts, spectator sports, and related industries",2015,6.4
Occ,"Performing arts, spectator sports, and related industries",2016,7.2
Occ,"Performing arts, spectator sports, and related industries",2017,4.9
Occ,"Performing arts, spectator sports, and related industries",2018,5.6
Occ,"Performing arts, spectator sports, and related industries",2019,4.4
Occ,"Performing arts, spectator sports, and related industries",2020,4.4
