Label,Characteristic,Year,fatal_injury_rate
Occ,Plastics and rubber products manufacturing,2006,1.8
Occ,Plastics and rubber products manufacturing,2007,2.7
Occ,Plastics and rubber products manufacturing,2008,3.7
Occ,Plastics and rubber products manufacturing,2009,4.3
Occ,Plastics and rubber products manufacturing,2014,3.1
Occ,Plastics and rubber products manufacturing,2015,3.3
Occ,Plastics and rubber products manufacturing,2016,2.8
Occ,Plastics and rubber products manufacturing,2017,2.7
Occ,Plastics and rubber products manufacturing,2018,2.2
Occ,Plastics and rubber products manufacturing,2020,2.9
