Label,Characteristic,Year,fatal_injury_rate
Occ,Police and sheriff's patrol officers,2006,15.6
Occ,Police and sheriff's patrol officers,2007,19.8
Occ,Police and sheriff's patrol officers,2008,15.7
Occ,Police and sheriff's patrol officers,2009,12.9
Occ,Police and sheriff's patrol officers,2010,18.1
Occ,Police and sheriff's patrol officers,2011,18.6
Occ,Police and sheriff's patrol officers,2012,15
Occ,Police and sheriff's patrol officers,2013,10.6
Occ,Police and sheriff's patrol officers,2014,13.5
Occ,Police and sheriff's patrol officers,2015,11.7
Occ,Police and sheriff's patrol officers,2016,14.6
Occ,Police and sheriff's patrol officers,2017,12.9
Occ,Police and sheriff's patrol officers,2018,13.7
Occ,Police and sheriff's patrol officers,2019,11.1
Occ,Police and sheriff's patrol officers,2020,13.4
