Label,Characteristic,Year,fatal_injury_rate
Occ,"Amusement, gambling, and recreation industries (except bowling centers)",2006,2.5
Occ,"Amusement, gambling, and recreation industries (except bowling centers)",2007,3.6
Occ,"Amusement, gambling, and recreation industries (except bowling centers)",2008,2.8
Occ,"Amusement, gambling, and recreation industries (except bowling centers)",2009,2.5
Occ,"Amusement, gambling, and recreation industries (except bowling centers)",2010,2.6
Occ,"Amusement, gambling, and recreation industries (except bowling centers)",2011,2.7
Occ,"Amusement, gambling, and recreation industries (except bowling centers)",2012,2.7
Occ,"Amusement, gambling, and recreation industries (except bowling centers)",2013,1.8
Occ,"Amusement, gambling, and recreation industries (except bowling centers)",2014,2.7
Occ,"Amusement, gambling, and recreation industries (except bowling centers)",2015,1.9
Occ,"Amusement, gambling, and recreation industries (except bowling centers)",2016,2.5
Occ,"Amusement, gambling, and recreation industries (except bowling centers)",2017,2.7
Occ,"Amusement, gambling, and recreation industries (except bowling centers)",2018,1.8
Occ,"Amusement, gambling, and recreation industries (except bowling centers)",2020,3.1
