Label,Characteristic,Year,fatal_injury_rate
Occ,"Religious, grantmaking, civic, professional, and similar organizations",2006,1.7
Occ,"Religious, grantmaking, civic, professional, and similar organizations",2007,1.9
Occ,"Religious, grantmaking, civic, professional, and similar organizations",2008,1.4
Occ,"Religious, grantmaking, civic, professional, and similar organizations",2009,1.5
Occ,"Religious, grantmaking, civic, professional, and similar organizations",2010,1.5
Occ,"Religious, grantmaking, civic, professional, and similar organizations",2011,1.5
Occ,"Religious, grantmaking, civic, professional, and similar organizations",2012,1.6
Occ,"Religious, grantmaking, civic, professional, and similar organizations",2013,1.4
Occ,"Religious, grantmaking, civic, professional, and similar organizations",2014,1.6
Occ,"Religious, grantmaking, civic, professional, and similar organizations",2015,1.3
Occ,"Religious, grantmaking, civic, professional, and similar organizations",2016,1.6
Occ,"Religious, grantmaking, civic, professional, and similar organizations",2017,1.4
Occ,"Religious, grantmaking, civic, professional, and similar organizations",2018,1.1
Occ,"Religious, grantmaking, civic, professional, and similar organizations",2019,1.0
Occ,"Religious, grantmaking, civic, professional, and similar organizations",2020,1.1
