Label,Characteristic,Year,fatal_injury_rate
Occ,Restaurants and other food services,2006,1.8
Occ,Restaurants and other food services,2007,1.6
Occ,Restaurants and other food services,2008,1.3
Occ,Restaurants and other food services,2009,1.3
Occ,Restaurants and other food services,2010,1.5
Occ,Restaurants and other food services,2011,1.1
Occ,Restaurants and other food services,2012,1.4
Occ,Restaurants and other food services,2013,1.2
Occ,Restaurants and other food services,2014,1.2
Occ,Restaurants and other food services,2015,1.4
Occ,Restaurants and other food services,2016,1.9
Occ,Restaurants and other food services,2017,1.5
Occ,Restaurants and other food services,2018,1.3
Occ,Restaurants and other food services,2019,1.7
Occ,Restaurants and other food services,2020,1.9
