Label,Characteristic,Year,fatal_injury_rate
Occ,Security guards and gaming surveillance officers,2006,9.1
Occ,Security guards and gaming surveillance officers,2007,9.9
Occ,Security guards and gaming surveillance officers,2008,8.5
Occ,Security guards and gaming surveillance officers,2009,7.4
Occ,Security guards and gaming surveillance officers,2010,5.7
Occ,Security guards and gaming surveillance officers,2011,7.2
Occ,Security guards and gaming surveillance officers,2012,6.1
Occ,Security guards and gaming surveillance officers,2013,7.1
Occ,Security guards and gaming surveillance officers,2014,4.7
Occ,Security guards and gaming surveillance officers,2015,6.9
Occ,Security guards and gaming surveillance officers,2016,6.2
Occ,Security guards and gaming surveillance officers,2017,7.1
Occ,Security guards and gaming surveillance officers,2018,6.4
Occ,Security guards and gaming surveillance officers,2019,6.8
Occ,Security guards and gaming surveillance officers,2020,8.3
