Label,Characteristic,Year,fatal_injury_rate
Occ,Taxi and limousine service,2006,21.1
Occ,Taxi and limousine service,2007,20.7
Occ,Taxi and limousine service,2008,20.9
Occ,Taxi and limousine service,2009,15.7
Occ,Taxi and limousine service,2010,16.8
Occ,Taxi and limousine service,2011,22.1
Occ,Taxi and limousine service,2012,21.1
Occ,Taxi and limousine service,2013,19.1
Occ,Taxi and limousine service,2014,18.7
Occ,Taxi and limousine service,2015,12.9
Occ,Taxi and limousine service,2016,13.0
Occ,Taxi and limousine service,2017,9.8
Occ,Taxi and limousine service,2018,5.5
Occ,Taxi and limousine service,2019,6.9
Occ,Taxi and limousine service,2020,7.0
