Label,Characteristic,Year,fatal_injury_rate
Occ,Truck transportation,2006,24.6
Occ,Truck transportation,2007,26.0
Occ,Truck transportation,2008,23.1
Occ,Truck transportation,2009,21.6
Occ,Truck transportation,2010,23.2
Occ,Truck transportation,2011,25.9
Occ,Truck transportation,2012,25.6
Occ,Truck transportation,2013,25.7
Occ,Truck transportation,2014,23.9
Occ,Truck transportation,2015,25.2
Occ,Truck transportation,2016,25.6
Occ,Truck transportation,2017,28.0
Occ,Truck transportation,2018,28.3
Occ,Truck transportation,2019,27.2
Occ,Truck transportation,2020,26.3
