Label,Characteristic,Year,fatal_injury_rate
Occ,Waste management and remediation services,2006,22.0
Occ,Waste management and remediation services,2007,20.1
Occ,Waste management and remediation services,2008,20.1
Occ,Waste management and remediation services,2009,12.7
Occ,Waste management and remediation services,2010,12.8
Occ,Waste management and remediation services,2011,16.8
Occ,Waste management and remediation services,2012,13.2
Occ,Waste management and remediation services,2013,11.2
Occ,Waste management and remediation services,2014,10.9
Occ,Waste management and remediation services,2015,13.7
Occ,Waste management and remediation services,2016,12.7
Occ,Waste management and remediation services,2017,13.7
Occ,Waste management and remediation services,2018,21.3
Occ,Waste management and remediation services,2019,15.1
Occ,Waste management and remediation services,2020,15.0
