Label,Characteristic,Year,fatal_injury_rate
Occ,"Welding, soldering, and brazing workers",2006,9.5
Occ,"Welding, soldering, and brazing workers",2007,6.9
Occ,"Welding, soldering, and brazing workers",2008,10.5
Occ,"Welding, soldering, and brazing workers",2009,8.8
Occ,"Welding, soldering, and brazing workers",2010,8.2
Occ,"Welding, soldering, and brazing workers",2011,8.5
Occ,"Welding, soldering, and brazing workers",2012,7.6
Occ,"Welding, soldering, and brazing workers",2013,7.8
Occ,"Welding, soldering, and brazing workers",2014,6.0
Occ,"Welding, soldering, and brazing workers",2015,8.4
Occ,"Welding, soldering, and brazing workers",2016,6.4
Occ,"Welding, soldering, and brazing workers",2017,5.8
Occ,"Welding, soldering, and brazing workers",2018,6.2
Occ,"Welding, soldering, and brazing workers",2019,8.1
Occ,"Welding, soldering, and brazing workers",2020,9.2
