Label,Characteristic,Year,fatal_injury_rate
Occ,Wood product manufacturing,2006,6.6
Occ,Wood product manufacturing,2007,7.6
Occ,Wood product manufacturing,2008,5.6
Occ,Wood product manufacturing,2009,5.4
Occ,Wood product manufacturing,2010,8.2
Occ,Wood product manufacturing,2011,6.6
Occ,Wood product manufacturing,2012,5.7
Occ,Wood product manufacturing,2013,7.2
Occ,Wood product manufacturing,2014,10.7
Occ,Wood product manufacturing,2015,6.5
Occ,Wood product manufacturing,2016,6.6
Occ,Wood product manufacturing,2017,5.3
Occ,Wood product manufacturing,2018,10.4
Occ,Wood product manufacturing,2020,8.1
