Label,Characteristic,Year,total_fatal_injuries,total_hours_worked,fatal_injury_rate,,
,Total,2007,"5,657","275,043",4.0,,
,,2007,,,,,
,Employee Status,2007,,,,,
,Wage and salary workers4 ,2007,"4,613","255,682",3.5,,
,Self-employed5,2007,"1,044","18,810",11.0,,
,,2007,,,,,
,Gender,2007,,,,,
Dem,Men,2007,"5,228","158,049",6.4,,
Dem,Women,2007,429,"116,468",0.7,,
,,2007,,,,,
,Age,2007,,,,,
Dem,16 to 17 years,2007,20,"2,001",1.9,,
Dem,18 to 19 years,2007,97,"4,897",3.5,,
Dem,20 to 24 years,2007,424,"24,137",3.4,,
Dem,25 to 34 years,2007,991,"61,451",3.1,,
Dem,35 to 44 years,2007,"1,168","67,703",3.4,,
Dem,45 to 54 years,2007,"1,425","68,373",4.1,,
Dem,55 to 64 years,2007,934,"37,824",4.9,,
Dem,65 years and over,2007,574,"8,370",13.5,,
,,2007,,,,,
,Race or ethnic origin6,2007,,,,,
Dem,White (non-Hispanic),2007,"3,867","189,819",3.9,,
Dem,Black or African-American (non-Hispanic),2007,609,"29,035",4.2,,
Dem,Hispanic or Latino,2007,937,"38,373",4.8,,
,,2007,,,,,
,Occupation7,2007,,,,,
,Civilian Occupations,2007,,,,,
Ind,"Management, professional, and related occupations",2007,810,"101,299",1.6,,
,"Management, business, and financial operations occupations",2007,556,"45,392",2.4,,
,Management occupations,2007,525,"33,295",3.2,,
Occ,"Farm, ranch, and other agricultural managers",2007,8,482,3.3,,
Occ,Farmers and ranchers,2007,293,"1,630",36.0,,
Occ,Construction managers,2007,69,"2,537",5.4,,
Occ,Food service managers,2007,18,"2,253",1.6,,
Occ,Business and financial operations occupations,2007,31,"12,073",0.5,,
,Professional and related occupations,2007,254,"55,852",0.9,,
Occ,Architecture and engineering occupations,2007,51,"6,039",1.7,,
Occ,"Education, training, and library occupations",2007,22,"13,951",0.3,,
Occ,"Arts, design, entertainment, sports, and media occupations",2007,52,"4,977",2.0,,
Occ,Healthcare practitioner and technical occupations,2007,66,"13,546",0.9,,
Ind,Service occupations,2007,739,"40,966",3.4,,
,Protective service occupations,2007,346,"6,296",10.0,,
Occ,Fire fighters,2007,50,771,7.0,,
Occ,Police and sheriff's patrol officers,2007,146,"1,431",19.8,,
Occ,Security guards and gaming surveillance officers,2007,84,"1,702",9.9,,
Occ,Food preparation and serving related occupations,2007,61,"12,011",1.0,,
,Building and grounds cleaning and maintenance occupations,2007,255,"9,402",5.4,,
Occ,Janitors and building cleaners,2007,45,"3,553",2.5,,
Occ,Grounds maintenance workers,2007,160,"2,366",13.5,,
Occ,Personal care and service occupations,2007,63,"7,861",1.6,,
Ind,Sales and office occupations,2007,461,"65,453",1.4,,
,Sales and related occupations,2007,327,"30,786",2.1,,
Occ,First-line supervisors/managers of retail sales workers,2007,134,"7,283",3.7,,
Occ,First-line supervisors/managers of non-retail sales workers,2007,22,"2,888",1.5,,
Occ,Cashiers,2007,44,"4,423",2.0,,
Occ,Retail salespersons,2007,46,"5,787",1.6,,
Occ,Office and administrative support occupations,2007,134,"34,711",0.8,,
Ind,"Natural resources, construction, and maintenance occupations",2007,"1,810","31,079",11.5,,
,"Farming, fishing, and forestry occupations",2007,258,"1,889",25.7,,
Occ,Miscellaneous agricultural workers,2007,124,"1,335",16.3,,
Occ,Fishers and related fishing workers,2007,38,69,110.1,,
Occ,Logging workers,2007,76,171,88.9,,
,Construction and extraction occupations,2007,"1,172","18,481",12.6,,
Occ,Carpenters,2007,109,"3,436",6.3,,
Occ,Construction laborers,2007,345,"3,270",20.8,,
Occ,Operating engineers and other construction equipment operators,2007,45,851,10.6,,
Occ,Electricians,2007,95,"1,849",10.1,,
Occ,"Painters, construction and maintenance",2007,42,"1,268",6.6,,
Occ,"Pipelayers, plumbers, pipefitters, and steamfitters",2007,50,"1,423",7.0,,
Occ,Roofers,2007,79,473,33.4,,
Occ,Structural iron and steel workers,2007,40,167,47.9,,
Occ,"Helpers, construction trades",2007,18,204,15.7,,
,"Installation, maintenance, and repair occupations",2007,380,"10,740",7.1,,
Occ,"First-line supervisors/managers of mechanics, installers, and repair",2007,24,720,6.7,,
Occ,Automotive service technicians and mechanics,2007,36,"1,801",3.9,,
Occ,"Heating, air conditioning, and refrigeration mechanics and installer",2007,33,818,8.1,,
Occ,Electrical power-line installers and repairers,2007,30,217,27.6,,
Ind,"Production, transportation, and material moving occupations",2007,"1,769","35,942",9.8,,
,Production occupations,2007,266,"18,782",2.8,,
Occ,First-line supervisors/managers of production and operating workers,2007,30,"2,027",3.0,,
Occ,"Welding, soldering, and brazing workers",2007,42,"1,219",6.9,,
,Transportation and material moving occupations,2007,"1,503","17,175",17.3,,
Occ,Aircraft pilots and flight engineers,2007,87,232,70.7,,
Occ,Driver/sales workers and truck drivers,2007,976,"7,443",26.1,,
