Label,Characteristic,Year,total_fatal_injuries,total_hours_worked,fatal_injury_rate
,Total,2010,"4,690","255,948",3.6
,,2010,,,
,Employee Status,2010,,,
,Wage and salary workers4 ,2010,"3,651","239,105",3
,Self-employed5,2010,"1,039","16,297",12.6
,,2010,,,
,Gender,2010,,,
Dem,Men,2010,"4,322","144,099",5.8
Dem,Women,2010,368,"111,548",0.6
,,2010,,,
,Age,2010,,,
Dem,16 to 17 years,2010,18,"1,148",3
Dem,18 to 19 years,2010,56,"3,631",2.8
Dem,20 to 24 years,2010,245,"20,578",2.2
Dem,25 to 34 years,2010,785,"57,213",2.7
Dem,35 to 44 years,2010,868,"59,318",2.9
Dem,45 to 54 years,2010,"1,169","64,280",3.6
Dem,55 to 64 years,2010,948,"40,026",4.7
Dem,65 years and over,2010,582,"9,393",11.9
,,2010,,,
,Race or ethnic origin6,2010,,,
Dem,White (non-Hispanic),2010,"3,363","176,371",3.7
Dem,Black or African-American (non-Hispanic),2010,412,"26,467",3
Dem,Hispanic or Latino,2010,707,"36,146",3.9
,,2010,,,
,Occupation7,2010,,,
,Civilian Occupations,2010,,,
Ind,"Management, professional, and related occupations",2010,852,"99,621",1.7
,"Management, business, and financial operations occupations",2010,571,"43,307",2.6
,Management occupations,2010,545,"31,610",3.4
Occ,"Farm, ranch, and other agricultural managers",2010,15,560,5.4
Occ,Farmers and ranchers,2010,308,"1,451",42.5
Occ,Construction managers,2010,36,"2,116",3.4
Occ,Food service managers,2010,25,"2,122",2.4
Occ,"Property, real estate, and community association managers",2010,19,"1,082",3.5
Occ,Business and financial operations occupations,2010,26,"11,682",0.4
,Professional and related occupations,2010,281,"56,360",1
Occ,Architecture and engineering occupations,2010,53,"5,344",2
Occ,Community and social services occupations,2010,25,"4,360",1.1
Occ,"Education, training, and library occupations",2010,30,"14,187",0.4
,"Arts, design, entertainment, sports, and media occupations",2010,56,"4,758",2.3
Occ,"Athletes, coaches, umpires, and related workers",2010,22,372,11.3
,Healthcare practitioner and technical occupations,2010,67,"14,492",0.9
Occ,      Registered nurses,2010,22,"5,014",0.9
Ind,Service occupations,2010,638,"40,799",3
,Protective service occupations,2010,261,"6,527",7.5
Occ,Fire fighters,2010,23,801,3.2
Occ,Police and sheriff's patrol officers,2010,134,"1,478",18.1
Occ,Security guards and gaming surveillance officers,2010,52,"1,838",5.7
,Food preparation and serving related occupations,2010,61,"11,710",1
Occ,"First-line supervisors/managers, food preparation and serving workers",2010,21,"1,756",2.4
,Building and grounds cleaning and maintenance occupations,2010,233,"8,743",5.2
Occ,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers",2010,30,453,12.8
Occ,"Janitors and building cleaners, except maids and housekeeping cleaners",2010,38,"3,645",2
Occ,Grounds maintenance workers,2010,144,"1,944",14.3
Occ,Personal care and service occupations,2010,66,"8,168",1.5
Ind,Sales and office occupations,2010,350,"59,296",1.2
,Sales and related occupations,2010,280,"27,652",2
Occ,First-line supervisors/managers of retail sales workers,2010,113,"6,539",3.5
Occ,First-line supervisors/managers of non-retail sales workers,2010,29,"2,396",2.4
Occ,Cashiers,2010,51,"4,378",2.1
Occ,Retail salespersons,2010,34,"5,269",1.3
Occ,Office and administrative support occupations,2010,70,"31,742",0.4
Ind,"Natural resources, construction, and maintenance occupations",2010,"1,419","24,799",11.2
,"Farming, fishing, and forestry occupations",2010,276,"1,905",27
Occ,Miscellaneous agricultural workers,2010,161,"1,344",21.4
Occ,Fishers and related fishing workers,2010,38,50,152
Occ,Logging workers,2010,60,124,93.5
,Construction and extraction occupations,2010,780,"13,054",11.8
Occ,First-line supervisors/managers of construction trades and extraction workers,2010,111,"1,331",16.7
Occ,Carpenters,2010,57,"2,128",5.3
Occ,Construction laborers,2010,202,"2,159",18.2
Occ,Operating engineers and other construction equipment operators,2010,42,734,11.4
Occ,Electricians,2010,63,"1,339",9.4
Occ,"Painters, construction and maintenance",2010,34,956,7.1
Occ,"Pipelayers, plumbers, pipefitters, and steamfitters",2010,32,"1,003",6.4
Occ,Roofers,2010,57,366,30.6
Occ,Mining machine operators,2010,22,138,31.9
Occ,Other extraction workers,2010,26,139,37.4
,"Installation, maintenance, and repair occupations",2010,363,"9,819",7.3
Occ,"First-line supervisors/managers of mechanics, installers, and repairers",2010,27,825,6.5
Occ,Automotive service technicians and mechanics,2010,39,"1,588",4.9
Occ,Bus and truck mechanics and diesel engine specialists,2010,26,694,7.5
Occ,"Heating, air conditioning, and refrigeration mechanics and installers",2010,25,775,6.5
Occ,"Industrial machinery installation, repair, and maintenance workers",2010,98,"1,758",10.9
,"Maintenance and repair workers, general",2010,68,674,19.6
Occ,Electrical power-line installers and repairers,2010,22,270,16.3
Occ,Telecommunications line installers and repairers,2010,17,324,10.5
