Label,Characteristic,Year,total_fatal_injuries,total_hours_worked,fatal_injury_rate,margin_of_error
,Total,2016,"5,190","283,101",3.6,0
, no data,2016, no data, no data, no data, no data
,Employee Status,2016, no data, no data, no data, no data
,Wage and salary workers5,2016,"4,098","266,442",3,0
,Self-employed6,2016,"1,092","16,520",13.1,0.3
, no data,2016, no data, no data, no data, no data
,Gender,2016, no data, no data, no data, no data
Dem,Men,2016,"4,803","160,312",5.8,0
Dem,Women,2016,387,"122,789",0.6,0
, no data,2016, no data, no data, no data, no data
,Age,2016, no data, no data, no data, no data
Dem,16 to 17 years,2016,17,"1,539",2.1,0.1
Dem,18 to 19 years,2016,43,"4,196",1.9,0.1
Dem,20 to 24 years,2016,310,"23,593",2.4,0
Dem,25 to 34 years,2016,834,"65,094",2.5,0
Dem,35 to 44 years,2016,979,"61,892",3.1,0
Dem,45 to 54 years,2016,"1,145","64,588",3.5,0
Dem,55 to 64 years,2016,"1,160","48,324",4.7,0
Dem,65 years and over,2016,688,"13,874",9.6,0.2
, no data,2016, no data, no data, no data, no data
,Race or ethnic origin7,2016, no data, no data, no data, no data
Dem,White (non-Hispanic),2016,"3,481","181,673",3.7,0
Dem,Black or African-American (non-Hispanic),2016,587,"31,329",3.6,0
Dem,Asian (non-Hispanic),2016,160,"16,896",1.8,0
Dem,Hispanic or Latino,2016,879,"46,831",3.7,0
, no data,2016, no data, no data, no data, no data
,Occupation8,2016, no data, no data, no data, no data
,Civilian Occupations,2016, no data, no data, no data, no data
Ind,"Management, professional, and related occupations",2016,672,"115,487",1.2,0
,"Management, business, and financial operations occupations",2016,404,"51,562",1.6,0
,Management occupations,2016,377,"36,787",2,0
Occ,"Farmers, ranchers, and other agricultural managers",2016,260,"2,239",23.1,1.8
Occ,Food service managers,2016,23,"2,499",1.8,0.1
Occ,"Property, real estate, and community association managers",2016,23,"1,323",3.5,0.2
Occ,Business and financial operations occupations,2016,27,"14,774",0.4,0
,Professional and related occupations,2016,268,"63,925",0.8,0
Occ,Computer and mathematical occupations,2016,16,"9,156",0.3,0
Occ,Architecture and engineering occupations,2016,41,"6,355",1.3,0
Occ,"Life, physical, and social science occupations",2016,15,"2,628",1.1,0.1
Occ,Community and social service occupations,2016,27,"4,924",1,0
Occ,"Education, training, and library occupations",2016,32,"14,930",0.4,0
,"Arts, design, entertainment, sports, and media occupations",2016,64,"5,372",2.3,0.1
Occ,"Athletes, coaches, umpires, and related workers",2016,29,463,11.7,1.5
Occ,Healthcare practitioners and technical occupations,2016,60,"16,884",0.7,0
Ind,Service occupations,2016,787,"45,189",3.4,0
Occ,Healthcare support occupations,2016,30,"6,183",1,0
,Protective service occupations,2016,281,"6,210",8.4,0.3
Occ,Fire fighters,2016,35,660,6.1,0.8
Occ,Police and sheriff's patrol officers,2016,108,"1,476",14.6,0.9
Occ,Security guards and gaming surveillance officers,2016,54,"1,741",6.2,0.4
,Food preparation and serving related occupations,2016,92,"13,468",1.3,0
Occ,Supervisors of food preparation and serving workers,2016,21,"1,998",2.1,0.1
,Building and grounds cleaning and maintenance occupations,2016,329,"9,834",6.6,0.2
Occ,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",2016,30,454,13.2,1.6
Occ,Janitors and building cleaners,2016,51,"3,850",2.6,0.1
Occ,Grounds maintenance workers,2016,217,"2,475",17.4,1
Occ,Personal care and service occupations,2016,55,"9,494",1.1,0
Ind,Sales and office occupations,2016,332,"60,238",1.1,0
,Sales and related occupations,2016,254,"28,706",1.8,0
Occ,First-line supervisors of retail sales workers,2016,89,"6,740",2.6,0.1
Occ,First-line supervisors of non-retail sales workers,2016,15,"2,519",1.2,0.1
Occ,Cashiers (including gaming change persons and booth cashiers ),2016,63,"4,623",2.7,0.1
Occ,Retail salespersons,2016,33,"5,482",1.2,0
Occ,Office and administrative support occupations,2016,78,"31,532",0.5,0
Ind,"Natural resources, construction, and maintenance occupations",2016,"1,730","27,556",12.3,0.2
,"Farming, fishing, and forestry occupations",2016,290,"2,226",24.9,2
Occ,Miscellaneous agricultural workers,2016,156,"1,666",17.4,1.7
Occ,Fishers and related fishing workers,2016,24,56,86,31.5
