Label,Characteristic,Year,Characteristic_code,total_fatal_injuries,total_hours_worked,fatal_injury_rate,margin_of_error
,Total,2018,no data,"5,250","292,528",3.5,0
, no data,2018,no data,no data,no data,no data,
,Employee status,2018,no data,no data,no data,no data,
,Wage and salary workers5,2018,no data,"4,178","275,609",2.9,0
,Self-employed6,2018,no data,"1,072","16,760",12.7,0.3
, no data,2018,no data,no data,no data,no data,
,Gender,2018,no data,no data,no data,no data,
Dem,Men,2018,no data,"4,837","164,926",5.7,0
Dem,Women,2018,no data,413,"127,602",0.6,0
, no data,2018,no data,no data,no data,no data,
,Age,2018,no data,no data,no data,no data,
Dem,16 to 17 years,2018,no data,9,"1,631",1,0
Dem,18 to 19 years,2018,no data,56,"4,341",2.3,0.1
Dem,20 to 24 years,2018,no data,282,"23,910",2.1,0
Dem,25 to 34 years,2018,no data,946,"68,328",2.7,0
Dem,35 to 44 years,2018,no data,966,"64,328",2.9,0
Dem,45 to 54 years,2018,no data,"1,114","64,135",3.4,0
Dem,55 to 64 years,2018,no data,"1,104","50,677",4.3,0
Dem,65 years and over,2018,no data,759,"15,177",9.6,0.2
, no data,2018,no data,no data,no data,no data,
,Race or ethnic origin7,2018,no data,no data,no data,no data,
Dem,White (non-Hispanic),2018,no data,"3,405","183,739",3.6,0
Dem,Black or African-American (non-Hispanic),2018,no data,615,"33,558",3.6,0
Dem,Asian (non-Hispanic),2018,no data,153,"17,995",1.7,0
Dem,Hispanic or Latino,2018,no data,961,"50,218",3.7,0
, no data,2018,no data,no data,no data,no data,no data
,Occupation8,2018,Occupation code8,no data,no data,no data,no data
,Civilian Occupations,2018,no data,no data,no data,no data,no data
Ind,"Management, professional, and related occupations",2018,"11, 13, 15, 17, 19, 21, 23, 25, 27, 29",686,"121,203",1.1,0
,"Management, business, and financial operations occupations",2018,"11, 13",425,"53,086",1.6,0
,Management occupations,2018,11-0000,387,"38,148",2,0
Occ,"Farmers, ranchers, and other agricultural managers",2018,Nov-13,257,"2,066",24.7,2.1
Occ,Construction managers,2018,Nov-21,8,"2,160",0.7,0
Occ,Food service managers,2018,Nov-51,16,"2,708",1.2,0.1
Occ,"Property, real estate, and community association managers",2018,Nov-41,17,"1,280",2.7,0.2
Occ,Business and financial operations occupations,2018,13-0000,38,"14,938",0.5,0
,Professional and related occupations,2018,"15, 17, 19,  21, 23, 25, 27, 29",261,"68,117",0.7,0
Occ,Computer and mathematical occupations,2018,15-0000,12,"10,187",0.2,0
Occ,Architecture and engineering occupations,2018,17-0000,30,"6,656",0.9,0
Occ,"Life, physical, and social science occupations",2018,19-0000,18,"2,957",1.1,0.1
Occ,Community and social service occupations,2018,21-0000,23,"5,000",0.8,0
Occ,Legal occupations,2018,23-0000,15,"3,894",0.8,0
Occ,"Education, training, and library occupations",2018,25-0000,27,"15,792",0.3,0
,"Arts, design, entertainment, sports, and media occupations",2018,27-0000,71,"5,836",2.3,0.1
Occ,"Athletes, coaches, umpires, and related workers",2018,27-2020,22,530,7.6,0.8
,Healthcare practitioners and technical occupations,2018,29-0000,65,"17,796",0.7,0
Occ,Registered nurses,2018,29-1141,13,"5,850",0.4,0
Occ,Emergency medical technicians and paramedics,2018,29-2041,16,493,6.5,0.9
Ind,Service occupations,2018,"31, 33, 35, 37, 39",815,"45,672",3.4,0
Occ,Healthcare support occupations,2018,31-0000,32,"6,374",1,0
,Protective service occupations,2018,33-0000,270,"6,583",7.4,0.3
Occ,Firefighters,2018,33-2011,32,833,3.4,0.4
Occ,Police and sheriff's patrol officers,2018,33-3051,108,"1,544",13.7,1
Occ,Security guards and gaming surveillance officers,2018,33-9030,58,"1,819",6.4,0.4
,Food preparation and serving related occupations,2018,35-0000,100,"12,907",1.5,0
Occ,Supervisors of food preparation and serving workers,2018,35-1010,22,"1,958",2.2,0.1
,Building and grounds cleaning and maintenance occupations,2018,37-0000,350,"9,992",6.8,0.2
Occ,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",2018,37-1012,48,475,20.2,2.7
Occ,Janitors and building cleaners,2018,"37-2011, 37-2019",51,"4,033",2.5,0.1
Occ,Grounds maintenance workers,2018,37-3010,225,"2,333",18.6,1
Occ,Personal care and service occupations,2018,39-0000,63,"9,817",1.2,0
Ind,Sales and office occupations,2018,"41, 43",310,"60,350",1,0
,Sales and related occupations,2018,41-0000,241,"28,738",1.7,0
