Label,Characteristic,Year,Characteristic_code,total_hours_worked,fatal_injury_rate,margin_of_error
,Total,2020,,"269,900",3.4,0.01
,,2020,,,, 
,Employee status,2020,,,,
,Wage and salary workers,2020,,"255,400",2.9,0.01
,Self-employed5,2020,,"14,400",12.3,0.33
,,2020,,,,
,Gender,2020,,,,
Dem,Men,2020,,"151,800",5.6,0.03
Dem,Women,2020,,"118,100",0.6,0
,,2020,,,,
,Age,2020,,,,
Dem,16 to 17 years,2020,,"1,600",1.4,0.07
Dem,18 to 19 years,2020,,"3,900",2.7,0.09
Dem,20 to 24 years,2020,,"20,500",2.3,0.03
Dem,25 to 34 years,2020,,"62,600",2.6,0.02
Dem,35 to 44 years,2020,,"60,700",2.9,0.02
Dem,45 to 54 years,2020,,"58,000",3.3,0.03
Dem,55 to 64 years,2020,,"47,400",4.4,0.04
Dem,65 years and over,2020,,"15,300",8.6,0.18
,,2020,,,,
,Race or ethnic origin6,2020,,,,
Dem,White (non-Hispanic),2020,,"169,300",3.3,0.02
Dem,Black or African-American (non-Hispanic),2020,,"30,400",3.5,0.05
Dem,Asian (non-Hispanic),2020,,"16,700",1.8,0.03
Dem,Hispanic or Latino,2020,,"46,700",4.5,0.04
,,2020,,,,
,Occupation7,2020,Occupation code7,,,
,Civilian Occupations,2020,,,,
Ind,"Management, professional, and related occupations",2020,"11, 13, 15, 17, 19, 21, 23, 25, 27, 29","120,900",0.9,0.01
,"Management, business, and financial operations occupations",2020,"11, 13","54,500",1.4,0.02
,Management occupations,2020,11-0000,"37,800",1.9,0.03
Occ,"Farmers, ranchers, and other agricultural managers",2020,13-Nov,"2,000",20.9,2
Occ,Construction managers,2020,21-Nov,"2,000",3.4,0.24
Occ,Food service managers,2020,Nov-51,"2,200",1.1,0.08
Occ,"Property, real estate, and community association managers",2020,Nov-41,"1,400",2.6,0.2
Occ,Business and financial operations occupations,2020,13-0000,"16,700",0.3,0.01
,Professional and related occupations,2020,"15, 17, 19,  21, 23, 25, 27, 29","66,400",0.5,0.01
Occ,Computer and mathematical occupations,2020,15-0000,"11,000",0.1,0
Occ,Architecture and engineering occupations,2020,17-0000,"6,400",1,0.04
Occ,"Life, physical, and social science occupations",2020,19-0000,"3,100",1,0.06
Occ,Community and social service occupations,2020,21-0000,"5,000",1,0.04
Occ,Legal occupations,2020,23-0000,"3,700",0.3,0.01
Occ,Educational instruction and library occupations,2020,25-0000,"14,600",0.2,0
Occ,"Arts, design, entertainment, sports, and media occupations",2020,27-0000,"5,000",1.4,0.06
